Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Keypath_Testsuite_APAC_SEO,Chrome 128.0.0.0,,,18-09-2024 19:56:50,18-09-2024 19:58:43,1m - 52.617s,PASSED
,,,,,,,
Test Cases/APAC_Universities/SEO_PAGES/MBS_University/Degree_Programs,Chrome 128.0.0.0,,,18-09-2024 19:56:50,18-09-2024 19:57:43,52.580s,PASSED
"callTestCase(findTestCase(""Test Cases/APAC_Universities/SEO_PAGES/MBS_University/Resuable_Testcases/Navigate_URL""), [:], STOP_ON_FAILURE)",Chrome 128.0.0.0,,,18-09-2024 19:56:50,18-09-2024 19:57:16,25.368s,PASSED
"buttonObject = findTestObject(""Object Repository/APAC_University/MBS_University/Degree Program/List_DegreePrograms"")",Chrome 128.0.0.0,,,18-09-2024 19:57:16,18-09-2024 19:57:16,0.019s,PASSED
mouseOver(buttonObject),Chrome 128.0.0.0,,,18-09-2024 19:57:16,18-09-2024 19:57:17,1.001s,PASSED
"list1 = findTestObject(""Object Repository/APAC_University/MBS_University/Degree Program/DegreePrograms_ListOne"")",Chrome 128.0.0.0,,,18-09-2024 19:57:17,18-09-2024 19:57:17,0.004s,PASSED
"list2 = findTestObject(""Object Repository/APAC_University/MBS_University/Degree Program/DegreePrograms_Listtwo"")",Chrome 128.0.0.0,,,18-09-2024 19:57:17,18-09-2024 19:57:17,0.003s,PASSED
"list3 = findTestObject(""Object Repository/APAC_University/MBS_University/Degree Program/DegreePrograms_Listthree"")",Chrome 128.0.0.0,,,18-09-2024 19:57:17,18-09-2024 19:57:17,0.002s,PASSED
"list4 = findTestObject(""Object Repository/APAC_University/MBS_University/Degree Program/DegreePrograms_Listfour"")",Chrome 128.0.0.0,,,18-09-2024 19:57:17,18-09-2024 19:57:17,0.002s,PASSED
"lists = [list1, list2, list3, list4]",Chrome 128.0.0.0,,,18-09-2024 19:57:17,18-09-2024 19:57:17,0.001s,PASSED
rand = new java.util.Random(),Chrome 128.0.0.0,,,18-09-2024 19:57:17,18-09-2024 19:57:17,0.003s,PASSED
randomListIndex = rand.nextInt(lists.size()),Chrome 128.0.0.0,,,18-09-2024 19:57:17,18-09-2024 19:57:17,0.002s,PASSED
selectedList = lists.get(randomListIndex),Chrome 128.0.0.0,,,18-09-2024 19:57:17,18-09-2024 19:57:17,0.002s,PASSED
"waitForElementVisible(selectedList, 10)",Chrome 128.0.0.0,,,18-09-2024 19:57:17,18-09-2024 19:57:17,0.277s,PASSED
"listItems = findWebElements(selectedList, 30)",Chrome 128.0.0.0,,,18-09-2024 19:57:17,18-09-2024 19:57:17,0.440s,PASSED
