Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Keypath_Testsuite_APAC_SEO,Chrome 128.0.0.0,,,30-08-2024 12:18:35,30-08-2024 12:34:40,16m - 5.361s,FAILED
,,,,,,,
Test Cases/APAC_Universities/SEO_PAGES/RMIT_University/Enquiry_Form,Chrome 128.0.0.0,,,30-08-2024 12:18:35,30-08-2024 12:19:33,58.547s,PASSED
"callTestCase(findTestCase(""Test Cases/APAC_Universities/SEO_PAGES/RMIT_University/Reusuable_Testcases/Naviigate_Url""), [:], STOP_ON_FAILURE)",Chrome 128.0.0.0,,,30-08-2024 12:18:35,30-08-2024 12:19:18,42.673s,PASSED
"waitForElementClickable(findTestObject(""Object Repository/APAC_University/Rmit_University/Enquiry_Now/Button_Enquiry_Now""), 10)",Chrome 128.0.0.0,,,30-08-2024 12:19:18,30-08-2024 12:19:18,0.285s,PASSED
"click(findTestObject(""Object Repository/APAC_University/Rmit_University/Enquiry_Now/Button_Enquiry_Now""))",Chrome 128.0.0.0,,,30-08-2024 12:19:18,30-08-2024 12:19:18,0.264s,PASSED
"program = findTestObject(""Object Repository/APAC_University/Rmit_University/Enquiry_Now/Dropdown_Enquiry_Program"")",Chrome 128.0.0.0,,,30-08-2024 12:19:18,30-08-2024 12:19:18,0.003s,PASSED
"selectOptionByIndex(program, keyPathPackage.customKeywords.selectRandomOptionFromDropdown())",Chrome 128.0.0.0,,,30-08-2024 12:19:18,30-08-2024 12:19:19,0.977s,PASSED
FirstName = keyPathPackage.customKeywords.generateRandomFirstName(),Chrome 128.0.0.0,,,30-08-2024 12:19:19,30-08-2024 12:19:19,0.071s,PASSED
"setText(findTestObject(""Object Repository/APAC_University/Rmit_University/Enquiry_Now/Field_FirstName""), FirstName)",Chrome 128.0.0.0,,,30-08-2024 12:19:19,30-08-2024 12:19:20,0.588s,PASSED
LastName = keyPathPackage.customKeywords.generateRandomLastName(),Chrome 128.0.0.0,,,30-08-2024 12:19:20,30-08-2024 12:19:20,0.017s,PASSED
"setText(findTestObject(""Object Repository/APAC_University/Rmit_University/Enquiry_Now/Field_SecondName""), LastName)",Chrome 128.0.0.0,,,30-08-2024 12:19:20,30-08-2024 12:19:20,0.503s,PASSED
"waitForElementClickable(findTestObject(""Object Repository/APAC_University/Rmit_University/Enquiry_Now/Button_Nextstep2""), 10)",Chrome 128.0.0.0,,,30-08-2024 12:19:20,30-08-2024 12:19:21,0.235s,PASSED
"click(findTestObject(""Object Repository/APAC_University/Rmit_University/Enquiry_Now/Button_Nextstep2""))",Chrome 128.0.0.0,,,30-08-2024 12:19:21,30-08-2024 12:19:21,0.263s,PASSED
Phonenumber = keyPathPackage.customKeywords.generateRandomAustralianPhoneNumber(),Chrome 128.0.0.0,,,30-08-2024 12:19:21,30-08-2024 12:19:21,0.002s,PASSED
"setText(findTestObject(""Object Repository/APAC_University/Rmit_University/Enquiry_Now/Field_Phonenumber""), Phonenumber)",Chrome 128.0.0.0,,,30-08-2024 12:19:21,30-08-2024 12:19:22,0.726s,PASSED
Email = keyPathPackage.customKeywords.generateRandomEmail(),Chrome 128.0.0.0,,,30-08-2024 12:19:22,30-08-2024 12:19:22,0.019s,PASSED
"setText(findTestObject(""Object Repository/APAC_University/Rmit_University/Enquiry_Now/Field_Email""), Email)",Chrome 128.0.0.0,,,30-08-2024 12:19:22,30-08-2024 12:19:22,0.730s,PASSED
"waitForElementClickable(findTestObject(""Object Repository/APAC_University/Rmit_University/Enquiry_Now/Button_Nextstep3""), 10)",Chrome 128.0.0.0,,,30-08-2024 12:19:22,30-08-2024 12:19:23,0.241s,PASSED
"click(findTestObject(""Object Repository/APAC_University/Rmit_University/Enquiry_Now/Button_Nextstep3""))",Chrome 128.0.0.0,,,30-08-2024 12:19:23,30-08-2024 12:19:23,0.276s,PASSED
"selectOptionByLabel(findTestObject(""Object Repository/APAC_University/Rmit_University/Enquiry_Now/Dropdown_Country""), ""Australia"", false)",Chrome 128.0.0.0,,,30-08-2024 12:19:23,30-08-2024 12:19:24,0.715s,PASSED
delay(3),Chrome 128.0.0.0,,,30-08-2024 12:19:24,30-08-2024 12:19:27,3.010s,PASSED
Postcode = keyPathPackage.customKeywords.selectRandomPostCode(),Chrome 128.0.0.0,,,30-08-2024 12:19:27,30-08-2024 12:19:27,0.007s,PASSED
"setText(findTestObject(""Object Repository/APAC_University/Rmit_University/Enquiry_Now/Field_Pincode""), Postcode)",Chrome 128.0.0.0,,,30-08-2024 12:19:27,30-08-2024 12:19:27,0.514s,PASSED
"setText(findTestObject(""Object Repository/APAC_University/Rmit_University/Enquiry_Now/Field_Pincode""), Postcode)",Chrome 128.0.0.0,,,30-08-2024 12:19:27,30-08-2024 12:19:28,0.505s,PASSED
"waitForElementClickable(findTestObject(""Object Repository/APAC_University/Rmit_University/Enquiry_Now/Button_GetStarted""), 10)",Chrome 128.0.0.0,,,30-08-2024 12:19:28,30-08-2024 12:19:28,0.235s,PASSED
"click(findTestObject(""Object Repository/APAC_University/Rmit_University/Enquiry_Now/Button_GetStarted""))",Chrome 128.0.0.0,,,30-08-2024 12:19:28,30-08-2024 12:19:28,0.278s,PASSED
delay(5),Chrome 128.0.0.0,,,30-08-2024 12:19:28,30-08-2024 12:19:33,5.010s,PASSED
"verifyElementText(findTestObject(""Object Repository/APAC_University/Rmit_University/Main_Page/Verify_Message""), ""Thank you for enquiring"")",Chrome 128.0.0.0,,,30-08-2024 12:19:33,30-08-2024 12:19:33,0.252s,PASSED
,,,,,,,
Test Cases/APAC_Universities/SEO_PAGES/RMIT_University/Main_Page,Chrome 128.0.0.0,,,30-08-2024 12:19:33,30-08-2024 12:19:52,18.748s,PASSED
"callTestCase(findTestCase(""Test Cases/APAC_Universities/SEO_PAGES/RMIT_University/Reusuable_Testcases/Navigate to home page""), [:], STOP_ON_FAILURE)",Chrome 128.0.0.0,,,30-08-2024 12:19:33,30-08-2024 12:19:35,2.131s,PASSED
"callTestCase(findTestCase(""Test Cases/APAC_Universities/SEO_PAGES/RMIT_University/Reusuable_Testcases/Lead_Form""), [:], STOP_ON_FAILURE)",Chrome 128.0.0.0,,,30-08-2024 12:19:35,30-08-2024 12:19:52,16.450s,PASSED
closeBrowser(),Chrome 128.0.0.0,,,30-08-2024 12:19:52,30-08-2024 12:19:52,0.143s,PASSED
,,,,,,,
Test Cases/APAC_Universities/SEO_PAGES/Deakin_University/Enquiry_Now,Chrome 128.0.0.0,,,30-08-2024 12:19:52,30-08-2024 12:20:08,16.337s,PASSED
"callTestCase(findTestCase(""Test Cases/APAC_Universities/SEO_PAGES/Deakin_University/Resuable_Testcases/Navigate_URL""), [:], STOP_ON_FAILURE)",Chrome 128.0.0.0,,,30-08-2024 12:19:52,30-08-2024 12:19:57,4.620s,PASSED
"waitForElementClickable(findTestObject(""Object Repository/APAC_University/Deakin_University/Button_Enquiry_Now""), 10)",Chrome 128.0.0.0,,,30-08-2024 12:19:57,30-08-2024 12:19:57,0.444s,PASSED
"click(findTestObject(""Object Repository/APAC_University/Deakin_University/Button_Enquiry_Now""))",Chrome 128.0.0.0,,,30-08-2024 12:19:57,30-08-2024 12:19:59,1.442s,PASSED
"program = findTestObject(""Object Repository/APAC_University/Deakin_University/Dropdown_Program"")",Chrome 128.0.0.0,,,30-08-2024 12:19:59,30-08-2024 12:19:59,0.003s,PASSED
"selectOptionByIndex(program, keyPathPackage.customKeywords.selectRandomOptionFromDropdown())",Chrome 128.0.0.0,,,30-08-2024 12:19:59,30-08-2024 12:20:01,2.702s,PASSED
FirstName = keyPathPackage.customKeywords.generateRandomFirstName(),Chrome 128.0.0.0,,,30-08-2024 12:20:01,30-08-2024 12:20:01,0.007s,PASSED
"setText(findTestObject(""Object Repository/APAC_University/Deakin_University/Field_Firstname""), FirstName)",Chrome 128.0.0.0,,,30-08-2024 12:20:01,30-08-2024 12:20:02,0.567s,PASSED
LastName = keyPathPackage.customKeywords.generateRandomLastName(),Chrome 128.0.0.0,,,30-08-2024 12:20:02,30-08-2024 12:20:02,0.005s,PASSED
"setText(findTestObject(""Object Repository/APAC_University/Deakin_University/Field_Lastname""), LastName)",Chrome 128.0.0.0,,,30-08-2024 12:20:02,30-08-2024 12:20:02,0.504s,PASSED
Email = keyPathPackage.customKeywords.generateRandomEmail(),Chrome 128.0.0.0,,,30-08-2024 12:20:02,30-08-2024 12:20:02,0.011s,PASSED
"setText(findTestObject(""Object Repository/APAC_University/Deakin_University/Field_Email""), Email)",Chrome 128.0.0.0,,,30-08-2024 12:20:02,30-08-2024 12:20:03,0.506s,PASSED
Phonenumber = keyPathPackage.customKeywords.generateRandomAustralianPhoneNumber(),Chrome 128.0.0.0,,,30-08-2024 12:20:03,30-08-2024 12:20:03,0.004s,PASSED
