Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Keypath_Testsuite_APAC_SEO,Chrome 130.0.0.0,,,24-10-2024 13:20:22,24-10-2024 13:31:39,11m - 16.248s,ERROR
,,,,,,,
Test Cases/APAC_Universities/SEO_PAGES/RMIT_University/Enquiry_Form,Chrome 130.0.0.0,,,24-10-2024 13:20:23,24-10-2024 13:21:00,37.305s,PASSED
"callTestCase(findTestCase(""Test Cases/APAC_Universities/SEO_PAGES/RMIT_University/Reusuable_Testcases/Naviigate_Url""), [:], STOP_ON_FAILURE)",Chrome 130.0.0.0,,,24-10-2024 13:20:23,24-10-2024 13:20:40,17.324s,PASSED
"waitForElementClickable(findTestObject(""Object Repository/APAC_University/Rmit_University/Enquiry_Now/Button_Enquiry_Now""), 10)",Chrome 130.0.0.0,,,24-10-2024 13:20:40,24-10-2024 13:20:40,0.282s,PASSED
"click(findTestObject(""Object Repository/APAC_University/Rmit_University/Enquiry_Now/Button_Enquiry_Now""))",Chrome 130.0.0.0,,,24-10-2024 13:20:40,24-10-2024 13:20:42,1.349s,PASSED
"program = findTestObject(""Object Repository/APAC_University/Rmit_University/Enquiry_Now/Dropdown_Enquiry_Program"")",Chrome 130.0.0.0,,,24-10-2024 13:20:42,24-10-2024 13:20:42,0.003s,PASSED
"selectOptionByIndex(program, keyPathPackage.customKeywords.selectRandomOptionFromDropdown())",Chrome 130.0.0.0,,,24-10-2024 13:20:42,24-10-2024 13:20:44,2.194s,PASSED
FirstName = keyPathPackage.customKeywords.generateRandomFirstName(),Chrome 130.0.0.0,,,24-10-2024 13:20:44,24-10-2024 13:20:44,0.064s,PASSED
"setText(findTestObject(""Object Repository/APAC_University/Rmit_University/Enquiry_Now/Field_FirstName""), FirstName)",Chrome 130.0.0.0,,,24-10-2024 13:20:44,24-10-2024 13:20:44,0.587s,PASSED
LastName = keyPathPackage.customKeywords.generateRandomLastName(),Chrome 130.0.0.0,,,24-10-2024 13:20:44,24-10-2024 13:20:45,0.014s,PASSED
"setText(findTestObject(""Object Repository/APAC_University/Rmit_University/Enquiry_Now/Field_SecondName""), LastName)",Chrome 130.0.0.0,,,24-10-2024 13:20:45,24-10-2024 13:20:45,0.493s,PASSED
"waitForElementClickable(findTestObject(""Object Repository/APAC_University/Rmit_University/Enquiry_Now/Button_Nextstep2""), 10)",Chrome 130.0.0.0,,,24-10-2024 13:20:45,24-10-2024 13:20:45,0.236s,PASSED
"click(findTestObject(""Object Repository/APAC_University/Rmit_University/Enquiry_Now/Button_Nextstep2""))",Chrome 130.0.0.0,,,24-10-2024 13:20:45,24-10-2024 13:20:46,0.267s,PASSED
Phonenumber = keyPathPackage.customKeywords.generateRandomAustralianPhoneNumber(),Chrome 130.0.0.0,,,24-10-2024 13:20:46,24-10-2024 13:20:46,0.002s,PASSED
"setText(findTestObject(""Object Repository/APAC_University/Rmit_University/Enquiry_Now/Field_Phonenumber""), Phonenumber)",Chrome 130.0.0.0,,,24-10-2024 13:20:46,24-10-2024 13:20:46,0.706s,PASSED
Email = keyPathPackage.customKeywords.generateRandomEmail(),Chrome 130.0.0.0,,,24-10-2024 13:20:46,24-10-2024 13:20:46,0.015s,PASSED
"setText(findTestObject(""Object Repository/APAC_University/Rmit_University/Enquiry_Now/Field_Email""), Email)",Chrome 130.0.0.0,,,24-10-2024 13:20:46,24-10-2024 13:20:47,0.730s,PASSED
"waitForElementClickable(findTestObject(""Object Repository/APAC_University/Rmit_University/Enquiry_Now/Button_Nextstep3""), 10)",Chrome 130.0.0.0,,,24-10-2024 13:20:47,24-10-2024 13:20:47,0.237s,PASSED
"click(findTestObject(""Object Repository/APAC_University/Rmit_University/Enquiry_Now/Button_Nextstep3""))",Chrome 130.0.0.0,,,24-10-2024 13:20:47,24-10-2024 13:20:47,0.290s,PASSED
"selectOptionByLabel(findTestObject(""Object Repository/APAC_University/Rmit_University/Enquiry_Now/Dropdown_Country""), ""Australia"", false)",Chrome 130.0.0.0,,,24-10-2024 13:20:47,24-10-2024 13:20:48,0.712s,PASSED
delay(3),Chrome 130.0.0.0,,,24-10-2024 13:20:48,24-10-2024 13:20:51,3.014s,PASSED
Postcode = keyPathPackage.customKeywords.selectRandomPostCode(),Chrome 130.0.0.0,,,24-10-2024 13:20:51,24-10-2024 13:20:51,0.007s,PASSED
"setText(findTestObject(""Object Repository/APAC_University/Rmit_University/Enquiry_Now/Field_Pincode""), Postcode)",Chrome 130.0.0.0,,,24-10-2024 13:20:51,24-10-2024 13:20:52,0.518s,PASSED
"setText(findTestObject(""Object Repository/APAC_University/Rmit_University/Enquiry_Now/Field_Pincode""), Postcode)",Chrome 130.0.0.0,,,24-10-2024 13:20:52,24-10-2024 13:20:52,0.506s,PASSED
"waitForElementClickable(findTestObject(""Object Repository/APAC_University/Rmit_University/Enquiry_Now/Button_GetStarted""), 10)",Chrome 130.0.0.0,,,24-10-2024 13:20:52,24-10-2024 13:20:52,0.230s,PASSED
"click(findTestObject(""Object Repository/APAC_University/Rmit_University/Enquiry_Now/Button_GetStarted""))",Chrome 130.0.0.0,,,24-10-2024 13:20:52,24-10-2024 13:20:53,0.292s,PASSED
delay(5),Chrome 130.0.0.0,,,24-10-2024 13:20:53,24-10-2024 13:20:58,5.011s,PASSED
"verifyElementText(findTestObject(""Object Repository/APAC_University/Rmit_University/Main_Page/Verify_Message""), ""Thank you for enquiring"")",Chrome 130.0.0.0,,,24-10-2024 13:20:58,24-10-2024 13:21:00,2.059s,PASSED
,,,,,,,
