Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Keypath_Testsuite_APAC_SEO,Chrome 128.0.0.0,,,18-09-2024 09:49:43,18-09-2024 09:51:49,2m - 6.043s,PASSED
,,,,,,,
Test Cases/APAC_Universities/SEO_PAGES/MBS_University/Degree_Programs,Chrome 128.0.0.0,,,18-09-2024 09:49:43,18-09-2024 09:50:50,1m - 6.941s,PASSED
"callTestCase(findTestCase(""Test Cases/APAC_Universities/SEO_PAGES/MBS_University/Resuable_Testcases/Navigate_URL""), [:], STOP_ON_FAILURE)",Chrome 128.0.0.0,,,18-09-2024 09:49:43,18-09-2024 09:50:22,38.659s,PASSED
"buttonObject = findTestObject(""Object Repository/APAC_University/MBS_University/Degree Program/List_DegreePrograms"")",Chrome 128.0.0.0,,,18-09-2024 09:50:22,18-09-2024 09:50:22,0.020s,PASSED
mouseOver(buttonObject),Chrome 128.0.0.0,,,18-09-2024 09:50:22,18-09-2024 09:50:23,1.301s,PASSED
"list1 = findTestObject(""Object Repository/APAC_University/MBS_University/Degree Program/DegreePrograms_ListOne"")",Chrome 128.0.0.0,,,18-09-2024 09:50:23,18-09-2024 09:50:23,0.003s,PASSED
"list2 = findTestObject(""Object Repository/APAC_University/MBS_University/Degree Program/DegreePrograms_Listtwo"")",Chrome 128.0.0.0,,,18-09-2024 09:50:23,18-09-2024 09:50:23,0.002s,PASSED
"list3 = findTestObject(""Object Repository/APAC_University/MBS_University/Degree Program/DegreePrograms_Listthree"")",Chrome 128.0.0.0,,,18-09-2024 09:50:23,18-09-2024 09:50:23,0.002s,PASSED
"list4 = findTestObject(""Object Repository/APAC_University/MBS_University/Degree Program/DegreePrograms_Listfour"")",Chrome 128.0.0.0,,,18-09-2024 09:50:23,18-09-2024 09:50:23,0.002s,PASSED
"lists = [list1, list2, list3, list4]",Chrome 128.0.0.0,,,18-09-2024 09:50:23,18-09-2024 09:50:23,0.000s,PASSED
rand = new java.util.Random(),Chrome 128.0.0.0,,,18-09-2024 09:50:23,18-09-2024 09:50:23,0.003s,PASSED
randomListIndex = rand.nextInt(lists.size()),Chrome 128.0.0.0,,,18-09-2024 09:50:23,18-09-2024 09:50:23,0.001s,PASSED
selectedList = lists.get(randomListIndex),Chrome 128.0.0.0,,,18-09-2024 09:50:23,18-09-2024 09:50:23,0.002s,PASSED
"waitForElementVisible(selectedList, 10)",Chrome 128.0.0.0,,,18-09-2024 09:50:23,18-09-2024 09:50:23,0.267s,PASSED
"listItems = findWebElements(selectedList, 30)",Chrome 128.0.0.0,,,18-09-2024 09:50:23,18-09-2024 09:50:23,0.223s,PASSED
if (listItems.size() > 0),Chrome 128.0.0.0,,,18-09-2024 09:50:23,18-09-2024 09:50:29,5.857s,PASSED
FirstName = keyPathPackage.customKeywords.generateRandomFirstName(),Chrome 128.0.0.0,,,18-09-2024 09:50:29,18-09-2024 09:50:29,0.093s,PASSED
"setText(findTestObject(""Object Repository/APAC_University/MBS_University/Degree Program/Field_Firstname""), FirstName)",Chrome 128.0.0.0,,,18-09-2024 09:50:29,18-09-2024 09:50:31,1.626s,PASSED
LastName = keyPathPackage.customKeywords.generateRandomLastName(),Chrome 128.0.0.0,,,18-09-2024 09:50:31,18-09-2024 09:50:31,0.017s,PASSED
