Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Keypath_Testsuite_APAC_SEO,Chrome 128.0.0.0,,,11-09-2024 13:19:58,11-09-2024 13:22:25,2m - 27.169s,PASSED
,,,,,,,
Test Cases/APAC_Universities/SEO_PAGES/MBS_University/Degree_Programs,Chrome 128.0.0.0,,,11-09-2024 13:19:58,11-09-2024 13:20:57,59.032s,PASSED
"callTestCase(findTestCase(""Test Cases/APAC_Universities/SEO_PAGES/MBS_University/Resuable_Testcases/Navigate_URL""), [:], STOP_ON_FAILURE)",Chrome 128.0.0.0,,,11-09-2024 13:19:58,11-09-2024 13:20:17,18.619s,PASSED
"buttonObject = findTestObject(""Object Repository/APAC_University/MBS_University/Degree Program/List_DegreePrograms"")",Chrome 128.0.0.0,,,11-09-2024 13:20:17,11-09-2024 13:20:17,0.020s,PASSED
mouseOver(buttonObject),Chrome 128.0.0.0,,,11-09-2024 13:20:17,11-09-2024 13:20:17,0.373s,PASSED
"list1 = findTestObject(""Object Repository/APAC_University/MBS_University/Degree Program/DegreePrograms_ListOne"")",Chrome 128.0.0.0,,,11-09-2024 13:20:17,11-09-2024 13:20:17,0.002s,PASSED
"list2 = findTestObject(""Object Repository/APAC_University/MBS_University/Degree Program/DegreePrograms_Listtwo"")",Chrome 128.0.0.0,,,11-09-2024 13:20:17,11-09-2024 13:20:17,0.002s,PASSED
"list3 = findTestObject(""Object Repository/APAC_University/MBS_University/Degree Program/DegreePrograms_Listthree"")",Chrome 128.0.0.0,,,11-09-2024 13:20:17,11-09-2024 13:20:17,0.002s,PASSED
"list4 = findTestObject(""Object Repository/APAC_University/MBS_University/Degree Program/DegreePrograms_Listfour"")",Chrome 128.0.0.0,,,11-09-2024 13:20:17,11-09-2024 13:20:17,0.002s,PASSED
"lists = [list1, list2, list3, list4]",Chrome 128.0.0.0,,,11-09-2024 13:20:17,11-09-2024 13:20:17,0.001s,PASSED
rand = new java.util.Random(),Chrome 128.0.0.0,,,11-09-2024 13:20:17,11-09-2024 13:20:17,0.003s,PASSED
randomListIndex = rand.nextInt(lists.size()),Chrome 128.0.0.0,,,11-09-2024 13:20:17,11-09-2024 13:20:17,0.001s,PASSED
selectedList = lists.get(randomListIndex),Chrome 128.0.0.0,,,11-09-2024 13:20:17,11-09-2024 13:20:17,0.003s,PASSED
"waitForElementVisible(selectedList, 10)",Chrome 128.0.0.0,,,11-09-2024 13:20:17,11-09-2024 13:20:17,0.268s,PASSED
"listItems = findWebElements(selectedList, 30)",Chrome 128.0.0.0,,,11-09-2024 13:20:17,11-09-2024 13:20:19,1.569s,PASSED
if (listItems.size() > 0),Chrome 128.0.0.0,,,11-09-2024 13:20:19,11-09-2024 13:20:39,20.144s,PASSED
FirstName = keyPathPackage.customKeywords.generateRandomFirstName(),Chrome 128.0.0.0,,,11-09-2024 13:20:39,11-09-2024 13:20:39,0.079s,PASSED
"setText(findTestObject(""Object Repository/APAC_University/MBS_University/Degree Program/Field_Firstname""), FirstName)",Chrome 128.0.0.0,,,11-09-2024 13:20:39,11-09-2024 13:20:40,0.700s,PASSED
LastName = keyPathPackage.customKeywords.generateRandomLastName(),Chrome 128.0.0.0,,,11-09-2024 13:20:40,11-09-2024 13:20:40,0.014s,PASSED
"setText(findTestObject(""Object Repository/APAC_University/MBS_University/Degree Program/Field_Lastname""), LastName)",Chrome 128.0.0.0,,,11-09-2024 13:20:40,11-09-2024 13:20:41,0.843s,PASSED
"click(findTestObject(""Object Repository/APAC_University/MBS_University/Degree Program/Button_NextStep2""))",Chrome 128.0.0.0,,,11-09-2024 13:20:41,11-09-2024 13:20:41,0.500s,PASSED
"dropdown = findTestObject(""Object Repository/APAC_University/MBS_University/Degree Program/Dropdown_Bachelor_Experience"")",Chrome 128.0.0.0,,,11-09-2024 13:20:41,11-09-2024 13:20:41,0.003s,PASSED
"options = [""yes"", ""no""]",Chrome 128.0.0.0,,,11-09-2024 13:20:41,11-09-2024 13:20:41,0.001s,PASSED
randomOption = options[Random().nextInt(length)],Chrome 128.0.0.0,,,11-09-2024 13:20:41,11-09-2024 13:20:41,0.002s,PASSED
"selectOptionByValue(dropdown, randomOption, true)",Chrome 128.0.0.0,,,11-09-2024 13:20:41,11-09-2024 13:20:44,2.703s,PASSED
"if (randomOption.equals(""no""))",Chrome 128.0.0.0,,,11-09-2024 13:20:44,11-09-2024 13:20:48,3.758s,PASSED
"startdate = findTestObject(""Object Repository/APAC_University/MBS_University/Degree Program/Dropdown_Startdate"")",Chrome 128.0.0.0,,,11-09-2024 13:20:48,11-09-2024 13:20:48,0.003s,PASSED
"selectOptionByIndex(startdate, keyPathPackage.customKeywords.selectRandomOptionFromDropdown())",Chrome 128.0.0.0,,,11-09-2024 13:20:48,11-09-2024 13:20:49,0.735s,PASSED
"Enquiryreason = findTestObject(""Object Repository/APAC_University/MBS_University/Degree Program/Dropdown_Enquiry"")",Chrome 128.0.0.0,,,11-09-2024 13:20:49,11-09-2024 13:20:49,0.004s,PASSED
"selectOptionByIndex(Enquiryreason, keyPathPackage.customKeywords.selectRandomOptionFromDropdown())",Chrome 128.0.0.0,,,11-09-2024 13:20:49,11-09-2024 13:20:49,0.717s,PASSED
delay(2),Chrome 128.0.0.0,,,11-09-2024 13:20:49,11-09-2024 13:20:51,2.008s,PASSED
"scrollToElement(findTestObject(""Object Repository/APAC_University/MBS_University/Degree Program/Button_NextStep3""), 3)",Chrome 128.0.0.0,,,11-09-2024 13:20:51,11-09-2024 13:20:51,0.253s,PASSED
"click(findTestObject(""Object Repository/APAC_University/MBS_University/Degree Program/Button_NextStep3""))",Chrome 128.0.0.0,,,11-09-2024 13:20:51,11-09-2024 13:20:52,0.269s,PASSED
Email = keyPathPackage.customKeywords.generateRandomEmail(),Chrome 128.0.0.0,,,11-09-2024 13:20:52,11-09-2024 13:20:52,0.017s,PASSED
"setText(findTestObject(""Object Repository/APAC_University/MBS_University/Degree Program/Field_Email""), Email)",Chrome 128.0.0.0,,,11-09-2024 13:20:52,11-09-2024 13:20:55,2.731s,PASSED
Phonenumber = keyPathPackage.customKeywords.generateRandomAustralianPhoneNumber(),Chrome 128.0.0.0,,,11-09-2024 13:20:55,11-09-2024 13:20:55,0.001s,PASSED
"setText(findTestObject(""Object Repository/APAC_University/MBS_University/Degree Program/Field_Phonenumber""), Phonenumber)",Chrome 128.0.0.0,,,11-09-2024 13:20:55,11-09-2024 13:20:55,0.514s,PASSED
Postcode = keyPathPackage.customKeywords.selectRandomPostCode(),Chrome 128.0.0.0,,,11-09-2024 13:20:55,11-09-2024 13:20:55,0.003s,PASSED
"setText(findTestObject(""Object Repository/APAC_University/MBS_University/Degree Program/Field_Postcode""), Postcode)",Chrome 128.0.0.0,,,11-09-2024 13:20:55,11-09-2024 13:20:56,0.716s,PASSED
"setText(findTestObject(""Object Repository/APAC_University/MBS_University/Degree Program/Field_Postcode""), Postcode)",Chrome 128.0.0.0,,,11-09-2024 13:20:56,11-09-2024 13:20:56,0.719s,PASSED
"click(findTestObject(""Object Repository/APAC_University/MBS_University/Degree Program/Button_Downloadbrochure""))",Chrome 128.0.0.0,,,11-09-2024 13:20:56,11-09-2024 13:20:57,0.470s,PASSED
,,,,,,,
Test Cases/APAC_Universities/SEO_PAGES/MBS_University/Short_Courses,Chrome 128.0.0.0,,,11-09-2024 13:20:57,11-09-2024 13:21:24,27.299s,PASSED
"buttonObject = findTestObject(""Object Repository/APAC_University/MBS_University/Short_Courses/List_ShortCourses"")",Chrome 128.0.0.0,,,11-09-2024 13:20:57,11-09-2024 13:20:57,0.002s,PASSED
mouseOver(buttonObject),Chrome 128.0.0.0,,,11-09-2024 13:20:57,11-09-2024 13:21:02,5.321s,PASSED
"list1 = findTestObject(""Object Repository/APAC_University/MBS_University/Short_Courses/Shortcourse_Listone"")",Chrome 128.0.0.0,,,11-09-2024 13:21:02,11-09-2024 13:21:02,0.002s,PASSED
"list2 = findTestObject(""Object Repository/APAC_University/MBS_University/Short_Courses/Shortcourse_Listtwo"")",Chrome 128.0.0.0,,,11-09-2024 13:21:02,11-09-2024 13:21:02,0.002s,PASSED
"list3 = findTestObject(""Object Repository/APAC_University/MBS_University/Short_Courses/Shortcourse_Listthree"")",Chrome 128.0.0.0,,,11-09-2024 13:21:02,11-09-2024 13:21:02,0.001s,PASSED
"lists = [list1, list2, list3]",Chrome 128.0.0.0,,,11-09-2024 13:21:02,11-09-2024 13:21:02,0.000s,PASSED
rand = new java.util.Random(),Chrome 128.0.0.0,,,11-09-2024 13:21:02,11-09-2024 13:21:02,0.001s,PASSED
randomListIndex = rand.nextInt(lists.size()),Chrome 128.0.0.0,,,11-09-2024 13:21:02,11-09-2024 13:21:02,0.000s,PASSED
selectedList = lists.get(randomListIndex),Chrome 128.0.0.0,,,11-09-2024 13:21:02,11-09-2024 13:21:02,0.001s,PASSED
"waitForElementVisible(selectedList, 10)",Chrome 128.0.0.0,,,11-09-2024 13:21:02,11-09-2024 13:21:04,1.462s,PASSED
"listItems = findWebElements(selectedList, 30)",Chrome 128.0.0.0,,,11-09-2024 13:21:04,11-09-2024 13:21:04,0.227s,PASSED
if (listItems.size() > 0),Chrome 128.0.0.0,,,11-09-2024 13:21:04,11-09-2024 13:21:09,5.286s,PASSED
FirstName = keyPathPackage.customKeywords.generateRandomFirstName(),Chrome 128.0.0.0,,,11-09-2024 13:21:09,11-09-2024 13:21:09,0.011s,PASSED
"setText(findTestObject(""Object Repository/APAC_University/MBS_University/Short_Courses/Field_Firstname""), FirstName)",Chrome 128.0.0.0,,,11-09-2024 13:21:09,11-09-2024 13:21:12,2.268s,PASSED
LastName = keyPathPackage.customKeywords.generateRandomLastName(),Chrome 128.0.0.0,,,11-09-2024 13:21:12,11-09-2024 13:21:12,0.008s,PASSED
"setText(findTestObject(""Object Repository/APAC_University/MBS_University/Short_Courses/Field_Lastname""), LastName)",Chrome 128.0.0.0,,,11-09-2024 13:21:12,11-09-2024 13:21:12,0.502s,PASSED
Email = keyPathPackage.customKeywords.generateRandomEmail(),Chrome 128.0.0.0,,,11-09-2024 13:21:12,11-09-2024 13:21:12,0.014s,PASSED
"setText(findTestObject(""Object Repository/APAC_University/MBS_University/Short_Courses/Field_Email""), Email)",Chrome 128.0.0.0,,,11-09-2024 13:21:12,11-09-2024 13:21:13,0.516s,PASSED
Phonenumber = keyPathPackage.customKeywords.generateRandomAustralianPhoneNumber(),Chrome 128.0.0.0,,,11-09-2024 13:21:13,11-09-2024 13:21:13,0.001s,PASSED
"setText(findTestObject(""Object Repository/APAC_University/MBS_University/Short_Courses/Field_Phonenumber""), Phonenumber)",Chrome 128.0.0.0,,,11-09-2024 13:21:13,11-09-2024 13:21:13,0.513s,PASSED
Company = keyPathPackage.customKeywords.selectRandomCompany(),Chrome 128.0.0.0,,,11-09-2024 13:21:13,11-09-2024 13:21:13,0.026s,PASSED
"setText(findTestObject(""Object Repository/APAC_University/MBS_University/Short_Courses/Field_Company""), Company)",Chrome 128.0.0.0,,,11-09-2024 13:21:13,11-09-2024 13:21:14,0.726s,PASSED
