Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Keypath_Testsuite_APAC_SEO,Chrome 127.0.0.0,,,26-08-2024 12:54:58,26-08-2024 12:56:13,1m - 14.767s,FAILED
,,,,,,,
Test Cases/APAC_Universities/SEO_PAGES/SIM_University/Main_Page,Chrome 127.0.0.0,,,26-08-2024 12:54:58,26-08-2024 12:55:04,6.534s,FAILED
"callTestCase(findTestCase(""Test Cases/APAC_Universities/SEO_PAGES/SIM_University/Resuable_Testcases/Navigate_URL""), [:], STOP_ON_FAILURE)",Chrome 127.0.0.0,,,26-08-2024 12:54:58,26-08-2024 12:55:04,6.434s,FAILED
,,,,,,,
Test Cases/APAC_Universities/SEO_PAGES/SIM_University/Enquiry_Now,Chrome 127.0.0.0,,,26-08-2024 12:55:04,26-08-2024 12:56:13,1m - 8.176s,PASSED
"callTestCase(findTestCase(""Test Cases/APAC_Universities/SEO_PAGES/SIM_University/Resuable_Testcases/Navigate_Homepage""), [:], STOP_ON_FAILURE)",Chrome 127.0.0.0,,,26-08-2024 12:55:04,26-08-2024 12:55:58,53.262s,PASSED
"waitForElementClickable(findTestObject(""Object Repository/APAC_University/SIM_University/Button_Enquiry""), 10)",Chrome 127.0.0.0,,,26-08-2024 12:55:58,26-08-2024 12:55:58,0.479s,PASSED
"click(findTestObject(""Object Repository/APAC_University/SIM_University/Button_Enquiry""))",Chrome 127.0.0.0,,,26-08-2024 12:55:58,26-08-2024 12:55:59,0.277s,PASSED
"callTestCase(findTestCase(""Test Cases/APAC_Universities/SEO_PAGES/SIM_University/Resuable_Testcases/Lead_Form""), [:], STOP_ON_FAILURE)",Chrome 127.0.0.0,,,26-08-2024 12:55:59,26-08-2024 12:56:13,14.028s,PASSED
closeBrowser(),Chrome 127.0.0.0,,,26-08-2024 12:56:13,26-08-2024 12:56:13,0.105s,PASSED
