Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Keypath_Testsuite_APAC_SEO,Chrome 128.0.0.0,,,19-09-2024 08:46:16,19-09-2024 08:48:49,2m - 32.988s,PASSED
,,,,,,,
Test Cases/APAC_Universities/SEO_PAGES/MBS_University/Degree_Programs,Chrome 128.0.0.0,,,19-09-2024 08:46:16,19-09-2024 08:47:03,46.788s,PASSED
"callTestCase(findTestCase(""Test Cases/APAC_Universities/SEO_PAGES/MBS_University/Resuable_Testcases/Navigate_URL""), [:], STOP_ON_FAILURE)",Chrome 128.0.0.0,,,19-09-2024 08:46:16,19-09-2024 08:46:28,11.963s,PASSED
"buttonObject = findTestObject(""Object Repository/APAC_University/MBS_University/Degree Program/List_DegreePrograms"")",Chrome 128.0.0.0,,,19-09-2024 08:46:28,19-09-2024 08:46:28,0.018s,PASSED
mouseOver(buttonObject),Chrome 128.0.0.0,,,19-09-2024 08:46:28,19-09-2024 08:46:29,1.106s,PASSED
"list1 = findTestObject(""Object Repository/APAC_University/MBS_University/Degree Program/DegreePrograms_ListOne"")",Chrome 128.0.0.0,,,19-09-2024 08:46:29,19-09-2024 08:46:29,0.003s,PASSED
"list2 = findTestObject(""Object Repository/APAC_University/MBS_University/Degree Program/DegreePrograms_Listtwo"")",Chrome 128.0.0.0,,,19-09-2024 08:46:29,19-09-2024 08:46:29,0.002s,PASSED
"list3 = findTestObject(""Object Repository/APAC_University/MBS_University/Degree Program/DegreePrograms_Listthree"")",Chrome 128.0.0.0,,,19-09-2024 08:46:29,19-09-2024 08:46:29,0.002s,PASSED
"list4 = findTestObject(""Object Repository/APAC_University/MBS_University/Degree Program/DegreePrograms_Listfour"")",Chrome 128.0.0.0,,,19-09-2024 08:46:29,19-09-2024 08:46:29,0.002s,PASSED
"lists = [list1, list2, list3, list4]",Chrome 128.0.0.0,,,19-09-2024 08:46:29,19-09-2024 08:46:29,0.001s,PASSED
rand = new java.util.Random(),Chrome 128.0.0.0,,,19-09-2024 08:46:29,19-09-2024 08:46:29,0.003s,PASSED
randomListIndex = rand.nextInt(lists.size()),Chrome 128.0.0.0,,,19-09-2024 08:46:29,19-09-2024 08:46:29,0.001s,PASSED
selectedList = lists.get(randomListIndex),Chrome 128.0.0.0,,,19-09-2024 08:46:29,19-09-2024 08:46:29,0.003s,PASSED
"waitForElementVisible(selectedList, 10)",Chrome 128.0.0.0,,,19-09-2024 08:46:29,19-09-2024 08:46:29,0.271s,PASSED
"listItems = findWebElements(selectedList, 30)",Chrome 128.0.0.0,,,19-09-2024 08:46:29,19-09-2024 08:46:30,0.839s,PASSED
if (listItems.size() > 0),Chrome 128.0.0.0,,,19-09-2024 08:46:30,19-09-2024 08:46:35,4.669s,PASSED
FirstName = keyPathPackage.customKeywords.generateRandomFirstName(),Chrome 128.0.0.0,,,19-09-2024 08:46:35,19-09-2024 08:46:35,0.080s,PASSED
"setText(findTestObject(""Object Repository/APAC_University/MBS_University/Degree Program/Field_Firstname""), FirstName)",Chrome 128.0.0.0,,,19-09-2024 08:46:35,19-09-2024 08:46:41,6.256s,PASSED
LastName = keyPathPackage.customKeywords.generateRandomLastName(),Chrome 128.0.0.0,,,19-09-2024 08:46:41,19-09-2024 08:46:41,0.015s,PASSED
"setText(findTestObject(""Object Repository/APAC_University/MBS_University/Degree Program/Field_Lastname""), LastName)",Chrome 128.0.0.0,,,19-09-2024 08:46:41,19-09-2024 08:46:42,0.489s,PASSED
