Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Keypath_Testsuite_APAC_SEO,Chrome 128.0.0.0,,,18-09-2024 09:58:55,18-09-2024 10:00:27,1m - 32.583s,PASSED
,,,,,,,
Test Cases/APAC_Universities/SEO_PAGES/MBS_University/Degree_Programs,Chrome 128.0.0.0,,,18-09-2024 09:58:55,18-09-2024 09:59:25,30.151s,PASSED
"callTestCase(findTestCase(""Test Cases/APAC_Universities/SEO_PAGES/MBS_University/Resuable_Testcases/Navigate_URL""), [:], STOP_ON_FAILURE)",Chrome 128.0.0.0,,,18-09-2024 09:58:55,18-09-2024 09:59:00,4.717s,PASSED
"buttonObject = findTestObject(""Object Repository/APAC_University/MBS_University/Degree Program/List_DegreePrograms"")",Chrome 128.0.0.0,,,18-09-2024 09:59:00,18-09-2024 09:59:00,0.024s,PASSED
mouseOver(buttonObject),Chrome 128.0.0.0,,,18-09-2024 09:59:00,18-09-2024 09:59:00,0.370s,PASSED
"list1 = findTestObject(""Object Repository/APAC_University/MBS_University/Degree Program/DegreePrograms_ListOne"")",Chrome 128.0.0.0,,,18-09-2024 09:59:00,18-09-2024 09:59:00,0.005s,PASSED
"list2 = findTestObject(""Object Repository/APAC_University/MBS_University/Degree Program/DegreePrograms_Listtwo"")",Chrome 128.0.0.0,,,18-09-2024 09:59:00,18-09-2024 09:59:00,0.003s,PASSED
"list3 = findTestObject(""Object Repository/APAC_University/MBS_University/Degree Program/DegreePrograms_Listthree"")",Chrome 128.0.0.0,,,18-09-2024 09:59:00,18-09-2024 09:59:00,0.002s,PASSED
"list4 = findTestObject(""Object Repository/APAC_University/MBS_University/Degree Program/DegreePrograms_Listfour"")",Chrome 128.0.0.0,,,18-09-2024 09:59:00,18-09-2024 09:59:00,0.002s,PASSED
"lists = [list1, list2, list3, list4]",Chrome 128.0.0.0,,,18-09-2024 09:59:00,18-09-2024 09:59:00,0.000s,PASSED
rand = new java.util.Random(),Chrome 128.0.0.0,,,18-09-2024 09:59:00,18-09-2024 09:59:00,0.003s,PASSED
randomListIndex = rand.nextInt(lists.size()),Chrome 128.0.0.0,,,18-09-2024 09:59:00,18-09-2024 09:59:00,0.001s,PASSED
selectedList = lists.get(randomListIndex),Chrome 128.0.0.0,,,18-09-2024 09:59:00,18-09-2024 09:59:00,0.002s,PASSED
"waitForElementVisible(selectedList, 10)",Chrome 128.0.0.0,,,18-09-2024 09:59:00,18-09-2024 09:59:00,0.254s,PASSED
"listItems = findWebElements(selectedList, 30)",Chrome 128.0.0.0,,,18-09-2024 09:59:00,18-09-2024 09:59:02,1.185s,PASSED
if (listItems.size() > 0),Chrome 128.0.0.0,,,18-09-2024 09:59:02,18-09-2024 09:59:03,1.102s,PASSED
FirstName = keyPathPackage.customKeywords.generateRandomFirstName(),Chrome 128.0.0.0,,,18-09-2024 09:59:03,18-09-2024 09:59:03,0.074s,PASSED
"setText(findTestObject(""Object Repository/APAC_University/MBS_University/Degree Program/Field_Firstname""), FirstName)",Chrome 128.0.0.0,,,18-09-2024 09:59:03,18-09-2024 09:59:06,2.982s,PASSED
LastName = keyPathPackage.customKeywords.generateRandomLastName(),Chrome 128.0.0.0,,,18-09-2024 09:59:06,18-09-2024 09:59:06,0.015s,PASSED
"setText(findTestObject(""Object Repository/APAC_University/MBS_University/Degree Program/Field_Lastname""), LastName)",Chrome 128.0.0.0,,,18-09-2024 09:59:06,18-09-2024 09:59:06,0.520s,PASSED
