Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Keypath_Testsuite_APAC_SEO,Chrome 130.0.0.0,,,25-10-2024 15:43:13,25-10-2024 15:54:02,10m - 49.107s,ERROR
,,,,,,,
Test Cases/APAC_Universities/SEO_PAGES/RMIT_University/Enquiry_Form,Chrome 130.0.0.0,,,25-10-2024 15:43:13,25-10-2024 15:43:36,23.333s,PASSED
"callTestCase(findTestCase(""Test Cases/APAC_Universities/SEO_PAGES/RMIT_University/Reusuable_Testcases/Naviigate_Url""), [:], STOP_ON_FAILURE)",Chrome 130.0.0.0,,,25-10-2024 15:43:13,25-10-2024 15:43:19,5.746s,PASSED
"waitForElementClickable(findTestObject(""Object Repository/APAC_University/Rmit_University/Enquiry_Now/Button_Enquiry_Now""), 10)",Chrome 130.0.0.0,,,25-10-2024 15:43:19,25-10-2024 15:43:19,0.384s,PASSED
"click(findTestObject(""Object Repository/APAC_University/Rmit_University/Enquiry_Now/Button_Enquiry_Now""))",Chrome 130.0.0.0,,,25-10-2024 15:43:19,25-10-2024 15:43:20,1.080s,PASSED
"program = findTestObject(""Object Repository/APAC_University/Rmit_University/Enquiry_Now/Dropdown_Enquiry_Program"")",Chrome 130.0.0.0,,,25-10-2024 15:43:20,25-10-2024 15:43:20,0.002s,PASSED
"selectOptionByIndex(program, keyPathPackage.customKeywords.selectRandomOptionFromDropdown())",Chrome 130.0.0.0,,,25-10-2024 15:43:20,25-10-2024 15:43:22,1.682s,PASSED
FirstName = keyPathPackage.customKeywords.generateRandomFirstName(),Chrome 130.0.0.0,,,25-10-2024 15:43:22,25-10-2024 15:43:22,0.068s,PASSED
"setText(findTestObject(""Object Repository/APAC_University/Rmit_University/Enquiry_Now/Field_FirstName""), FirstName)",Chrome 130.0.0.0,,,25-10-2024 15:43:22,25-10-2024 15:43:23,0.583s,PASSED
LastName = keyPathPackage.customKeywords.generateRandomLastName(),Chrome 130.0.0.0,,,25-10-2024 15:43:23,25-10-2024 15:43:23,0.018s,PASSED
