Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Keypath_Testsuite_APAC_SEO,Chrome 128.0.0.0,,,13-09-2024 09:37:04,13-09-2024 09:39:24,2m - 20.440s,PASSED
,,,,,,,
Test Cases/APAC_Universities/SEO_PAGES/MBS_University/Degree_Programs,Chrome 128.0.0.0,,,13-09-2024 09:37:04,13-09-2024 09:38:17,1m - 13.508s,PASSED
"callTestCase(findTestCase(""Test Cases/APAC_Universities/SEO_PAGES/MBS_University/Resuable_Testcases/Navigate_URL""), [:], STOP_ON_FAILURE)",Chrome 128.0.0.0,,,13-09-2024 09:37:04,13-09-2024 09:37:37,33.587s,PASSED
"buttonObject = findTestObject(""Object Repository/APAC_University/MBS_University/Degree Program/List_DegreePrograms"")",Chrome 128.0.0.0,,,13-09-2024 09:37:37,13-09-2024 09:37:38,0.024s,PASSED
mouseOver(buttonObject),Chrome 128.0.0.0,,,13-09-2024 09:37:38,13-09-2024 09:37:40,2.331s,PASSED
"list1 = findTestObject(""Object Repository/APAC_University/MBS_University/Degree Program/DegreePrograms_ListOne"")",Chrome 128.0.0.0,,,13-09-2024 09:37:40,13-09-2024 09:37:40,0.004s,PASSED
"list2 = findTestObject(""Object Repository/APAC_University/MBS_University/Degree Program/DegreePrograms_Listtwo"")",Chrome 128.0.0.0,,,13-09-2024 09:37:40,13-09-2024 09:37:40,0.003s,PASSED
"list3 = findTestObject(""Object Repository/APAC_University/MBS_University/Degree Program/DegreePrograms_Listthree"")",Chrome 128.0.0.0,,,13-09-2024 09:37:40,13-09-2024 09:37:40,0.003s,PASSED
"list4 = findTestObject(""Object Repository/APAC_University/MBS_University/Degree Program/DegreePrograms_Listfour"")",Chrome 128.0.0.0,,,13-09-2024 09:37:40,13-09-2024 09:37:40,0.003s,PASSED
"lists = [list1, list2, list3, list4]",Chrome 128.0.0.0,,,13-09-2024 09:37:40,13-09-2024 09:37:40,0.001s,PASSED
rand = new java.util.Random(),Chrome 128.0.0.0,,,13-09-2024 09:37:40,13-09-2024 09:37:40,0.004s,PASSED
randomListIndex = rand.nextInt(lists.size()),Chrome 128.0.0.0,,,13-09-2024 09:37:40,13-09-2024 09:37:40,0.002s,PASSED
selectedList = lists.get(randomListIndex),Chrome 128.0.0.0,,,13-09-2024 09:37:40,13-09-2024 09:37:40,0.002s,PASSED
"waitForElementVisible(selectedList, 10)",Chrome 128.0.0.0,,,13-09-2024 09:37:40,13-09-2024 09:37:41,0.917s,PASSED
"listItems = findWebElements(selectedList, 30)",Chrome 128.0.0.0,,,13-09-2024 09:37:41,13-09-2024 09:37:41,0.226s,PASSED
if (listItems.size() > 0),Chrome 128.0.0.0,,,13-09-2024 09:37:41,13-09-2024 09:37:51,10.122s,PASSED
FirstName = keyPathPackage.customKeywords.generateRandomFirstName(),Chrome 128.0.0.0,,,13-09-2024 09:37:51,13-09-2024 09:37:51,0.070s,PASSED
"setText(findTestObject(""Object Repository/APAC_University/MBS_University/Degree Program/Field_Firstname""), FirstName)",Chrome 128.0.0.0,,,13-09-2024 09:37:51,13-09-2024 09:37:55,4.044s,PASSED
LastName = keyPathPackage.customKeywords.generateRandomLastName(),Chrome 128.0.0.0,,,13-09-2024 09:37:55,13-09-2024 09:37:55,0.015s,PASSED
"setText(findTestObject(""Object Repository/APAC_University/MBS_University/Degree Program/Field_Lastname""), LastName)",Chrome 128.0.0.0,,,13-09-2024 09:37:55,13-09-2024 09:37:56,0.488s,PASSED
"click(findTestObject(""Object Repository/APAC_University/MBS_University/Degree Program/Button_NextStep2""))",Chrome 128.0.0.0,,,13-09-2024 09:37:56,13-09-2024 09:37:56,0.272s,PASSED
"dropdown = findTestObject(""Object Repository/APAC_University/MBS_University/Degree Program/Dropdown_Bachelor_Experience"")",Chrome 128.0.0.0,,,13-09-2024 09:37:56,13-09-2024 09:37:56,0.006s,PASSED
"options = [""yes"", ""no""]",Chrome 128.0.0.0,,,13-09-2024 09:37:56,13-09-2024 09:37:56,0.001s,PASSED
randomOption = options[Random().nextInt(length)],Chrome 128.0.0.0,,,13-09-2024 09:37:56,13-09-2024 09:37:56,0.019s,PASSED
"selectOptionByValue(dropdown, randomOption, true)",Chrome 128.0.0.0,,,13-09-2024 09:37:56,13-09-2024 09:38:02,6.094s,PASSED
"if (randomOption.equals(""no""))",Chrome 128.0.0.0,,,13-09-2024 09:38:02,13-09-2024 09:38:06,3.753s,PASSED
"startdate = findTestObject(""Object Repository/APAC_University/MBS_University/Degree Program/Dropdown_Startdate"")",Chrome 128.0.0.0,,,13-09-2024 09:38:06,13-09-2024 09:38:06,0.003s,PASSED
"selectOptionByIndex(startdate, keyPathPackage.customKeywords.selectRandomOptionFromDropdown())",Chrome 128.0.0.0,,,13-09-2024 09:38:06,13-09-2024 09:38:07,0.730s,PASSED
