Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Keypath_Testsuite_APAC_SEO,Chrome 128.0.0.0,,,12-09-2024 08:25:30,12-09-2024 08:28:09,2m - 39.218s,PASSED
,,,,,,,
Test Cases/APAC_Universities/SEO_PAGES/MBS_University/Degree_Programs,Chrome 128.0.0.0,,,12-09-2024 08:25:30,12-09-2024 08:26:45,1m - 14.788s,PASSED
"callTestCase(findTestCase(""Test Cases/APAC_Universities/SEO_PAGES/MBS_University/Resuable_Testcases/Navigate_URL""), [:], STOP_ON_FAILURE)",Chrome 128.0.0.0,,,12-09-2024 08:25:30,12-09-2024 08:26:15,44.320s,PASSED
"buttonObject = findTestObject(""Object Repository/APAC_University/MBS_University/Degree Program/List_DegreePrograms"")",Chrome 128.0.0.0,,,12-09-2024 08:26:15,12-09-2024 08:26:15,0.023s,PASSED
mouseOver(buttonObject),Chrome 128.0.0.0,,,12-09-2024 08:26:15,12-09-2024 08:26:15,0.391s,PASSED
"list1 = findTestObject(""Object Repository/APAC_University/MBS_University/Degree Program/DegreePrograms_ListOne"")",Chrome 128.0.0.0,,,12-09-2024 08:26:15,12-09-2024 08:26:15,0.003s,PASSED
"list2 = findTestObject(""Object Repository/APAC_University/MBS_University/Degree Program/DegreePrograms_Listtwo"")",Chrome 128.0.0.0,,,12-09-2024 08:26:15,12-09-2024 08:26:15,0.003s,PASSED
"list3 = findTestObject(""Object Repository/APAC_University/MBS_University/Degree Program/DegreePrograms_Listthree"")",Chrome 128.0.0.0,,,12-09-2024 08:26:15,12-09-2024 08:26:15,0.002s,PASSED
"list4 = findTestObject(""Object Repository/APAC_University/MBS_University/Degree Program/DegreePrograms_Listfour"")",Chrome 128.0.0.0,,,12-09-2024 08:26:15,12-09-2024 08:26:15,0.002s,PASSED
"lists = [list1, list2, list3, list4]",Chrome 128.0.0.0,,,12-09-2024 08:26:15,12-09-2024 08:26:15,0.001s,PASSED
rand = new java.util.Random(),Chrome 128.0.0.0,,,12-09-2024 08:26:15,12-09-2024 08:26:15,0.003s,PASSED
randomListIndex = rand.nextInt(lists.size()),Chrome 128.0.0.0,,,12-09-2024 08:26:15,12-09-2024 08:26:15,0.002s,PASSED
selectedList = lists.get(randomListIndex),Chrome 128.0.0.0,,,12-09-2024 08:26:15,12-09-2024 08:26:15,0.002s,PASSED
"waitForElementVisible(selectedList, 10)",Chrome 128.0.0.0,,,12-09-2024 08:26:15,12-09-2024 08:26:16,0.388s,PASSED
"listItems = findWebElements(selectedList, 30)",Chrome 128.0.0.0,,,12-09-2024 08:26:16,12-09-2024 08:26:16,0.227s,PASSED
if (listItems.size() > 0),Chrome 128.0.0.0,,,12-09-2024 08:26:16,12-09-2024 08:26:16,0.456s,PASSED
FirstName = keyPathPackage.customKeywords.generateRandomFirstName(),Chrome 128.0.0.0,,,12-09-2024 08:26:16,12-09-2024 08:26:16,0.096s,PASSED
"setText(findTestObject(""Object Repository/APAC_University/MBS_University/Degree Program/Field_Firstname""), FirstName)",Chrome 128.0.0.0,,,12-09-2024 08:26:16,12-09-2024 08:26:23,7.143s,PASSED
LastName = keyPathPackage.customKeywords.generateRandomLastName(),Chrome 128.0.0.0,,,12-09-2024 08:26:23,12-09-2024 08:26:23,0.016s,PASSED
"setText(findTestObject(""Object Repository/APAC_University/MBS_University/Degree Program/Field_Lastname""), LastName)",Chrome 128.0.0.0,,,12-09-2024 08:26:23,12-09-2024 08:26:26,2.459s,PASSED
"click(findTestObject(""Object Repository/APAC_University/MBS_University/Degree Program/Button_NextStep2""))",Chrome 128.0.0.0,,,12-09-2024 08:26:26,12-09-2024 08:26:27,0.691s,PASSED
"dropdown = findTestObject(""Object Repository/APAC_University/MBS_University/Degree Program/Dropdown_Bachelor_Experience"")",Chrome 128.0.0.0,,,12-09-2024 08:26:27,12-09-2024 08:26:27,0.002s,PASSED
"options = [""yes"", ""no""]",Chrome 128.0.0.0,,,12-09-2024 08:26:27,12-09-2024 08:26:27,0.000s,PASSED
randomOption = options[Random().nextInt(length)],Chrome 128.0.0.0,,,12-09-2024 08:26:27,12-09-2024 08:26:27,0.003s,PASSED
"selectOptionByValue(dropdown, randomOption, true)",Chrome 128.0.0.0,,,12-09-2024 08:26:27,12-09-2024 08:26:30,3.597s,PASSED
"if (randomOption.equals(""no""))",Chrome 128.0.0.0,,,12-09-2024 08:26:30,12-09-2024 08:26:34,3.769s,PASSED
"startdate = findTestObject(""Object Repository/APAC_University/MBS_University/Degree Program/Dropdown_Startdate"")",Chrome 128.0.0.0,,,12-09-2024 08:26:34,12-09-2024 08:26:34,0.003s,PASSED
"selectOptionByIndex(startdate, keyPathPackage.customKeywords.selectRandomOptionFromDropdown())",Chrome 128.0.0.0,,,12-09-2024 08:26:34,12-09-2024 08:26:35,0.730s,PASSED
"Enquiryreason = findTestObject(""Object Repository/APAC_University/MBS_University/Degree Program/Dropdown_Enquiry"")",Chrome 128.0.0.0,,,12-09-2024 08:26:35,12-09-2024 08:26:35,0.002s,PASSED
"selectOptionByIndex(Enquiryreason, keyPathPackage.customKeywords.selectRandomOptionFromDropdown())",Chrome 128.0.0.0,,,12-09-2024 08:26:35,12-09-2024 08:26:35,0.709s,PASSED
delay(2),Chrome 128.0.0.0,,,12-09-2024 08:26:35,12-09-2024 08:26:37,2.015s,PASSED
"scrollToElement(findTestObject(""Object Repository/APAC_University/MBS_University/Degree Program/Button_NextStep3""), 3)",Chrome 128.0.0.0,,,12-09-2024 08:26:37,12-09-2024 08:26:38,0.247s,PASSED
"click(findTestObject(""Object Repository/APAC_University/MBS_University/Degree Program/Button_NextStep3""))",Chrome 128.0.0.0,,,12-09-2024 08:26:38,12-09-2024 08:26:38,0.266s,PASSED
Email = keyPathPackage.customKeywords.generateRandomEmail(),Chrome 128.0.0.0,,,12-09-2024 08:26:38,12-09-2024 08:26:38,0.020s,PASSED
"setText(findTestObject(""Object Repository/APAC_University/MBS_University/Degree Program/Field_Email""), Email)",Chrome 128.0.0.0,,,12-09-2024 08:26:38,12-09-2024 08:26:42,4.164s,PASSED
Phonenumber = keyPathPackage.customKeywords.generateRandomAustralianPhoneNumber(),Chrome 128.0.0.0,,,12-09-2024 08:26:42,12-09-2024 08:26:42,0.001s,PASSED
"setText(findTestObject(""Object Repository/APAC_University/MBS_University/Degree Program/Field_Phonenumber""), Phonenumber)",Chrome 128.0.0.0,,,12-09-2024 08:26:42,12-09-2024 08:26:43,0.523s,PASSED
Postcode = keyPathPackage.customKeywords.selectRandomPostCode(),Chrome 128.0.0.0,,,12-09-2024 08:26:43,12-09-2024 08:26:43,0.003s,PASSED
"setText(findTestObject(""Object Repository/APAC_University/MBS_University/Degree Program/Field_Postcode""), Postcode)",Chrome 128.0.0.0,,,12-09-2024 08:26:43,12-09-2024 08:26:44,0.831s,PASSED
"setText(findTestObject(""Object Repository/APAC_University/MBS_University/Degree Program/Field_Postcode""), Postcode)",Chrome 128.0.0.0,,,12-09-2024 08:26:44,12-09-2024 08:26:44,0.937s,PASSED
"click(findTestObject(""Object Repository/APAC_University/MBS_University/Degree Program/Button_Downloadbrochure""))",Chrome 128.0.0.0,,,12-09-2024 08:26:44,12-09-2024 08:26:45,0.472s,PASSED
,,,,,,,
Test Cases/APAC_Universities/SEO_PAGES/MBS_University/Short_Courses,Chrome 128.0.0.0,,,12-09-2024 08:26:45,12-09-2024 08:27:22,36.898s,PASSED
"buttonObject = findTestObject(""Object Repository/APAC_University/MBS_University/Short_Courses/List_ShortCourses"")",Chrome 128.0.0.0,,,12-09-2024 08:26:45,12-09-2024 08:26:45,0.002s,PASSED
mouseOver(buttonObject),Chrome 128.0.0.0,,,12-09-2024 08:26:45,12-09-2024 08:26:54,9.019s,PASSED
"list1 = findTestObject(""Object Repository/APAC_University/MBS_University/Short_Courses/Shortcourse_Listone"")",Chrome 128.0.0.0,,,12-09-2024 08:26:54,12-09-2024 08:26:54,0.002s,PASSED
