Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Keypath_Testsuite_APAC_SEO,Chrome 128.0.0.0,,,11-09-2024 13:27:11,11-09-2024 13:28:52,1m - 40.177s,PASSED
,,,,,,,
Test Cases/APAC_Universities/SEO_PAGES/MBS_University/Degree_Programs,Chrome 128.0.0.0,,,11-09-2024 13:27:12,11-09-2024 13:27:39,27.635s,PASSED
"callTestCase(findTestCase(""Test Cases/APAC_Universities/SEO_PAGES/MBS_University/Resuable_Testcases/Navigate_URL""), [:], STOP_ON_FAILURE)",Chrome 128.0.0.0,,,11-09-2024 13:27:12,11-09-2024 13:27:17,5.400s,PASSED
"buttonObject = findTestObject(""Object Repository/APAC_University/MBS_University/Degree Program/List_DegreePrograms"")",Chrome 128.0.0.0,,,11-09-2024 13:27:17,11-09-2024 13:27:17,0.015s,PASSED
mouseOver(buttonObject),Chrome 128.0.0.0,,,11-09-2024 13:27:17,11-09-2024 13:27:18,0.367s,PASSED
"list1 = findTestObject(""Object Repository/APAC_University/MBS_University/Degree Program/DegreePrograms_ListOne"")",Chrome 128.0.0.0,,,11-09-2024 13:27:18,11-09-2024 13:27:18,0.002s,PASSED
"list2 = findTestObject(""Object Repository/APAC_University/MBS_University/Degree Program/DegreePrograms_Listtwo"")",Chrome 128.0.0.0,,,11-09-2024 13:27:18,11-09-2024 13:27:18,0.001s,PASSED
"list3 = findTestObject(""Object Repository/APAC_University/MBS_University/Degree Program/DegreePrograms_Listthree"")",Chrome 128.0.0.0,,,11-09-2024 13:27:18,11-09-2024 13:27:18,0.002s,PASSED
"list4 = findTestObject(""Object Repository/APAC_University/MBS_University/Degree Program/DegreePrograms_Listfour"")",Chrome 128.0.0.0,,,11-09-2024 13:27:18,11-09-2024 13:27:18,0.002s,PASSED
"lists = [list1, list2, list3, list4]",Chrome 128.0.0.0,,,11-09-2024 13:27:18,11-09-2024 13:27:18,0.000s,PASSED
rand = new java.util.Random(),Chrome 128.0.0.0,,,11-09-2024 13:27:18,11-09-2024 13:27:18,0.002s,PASSED
randomListIndex = rand.nextInt(lists.size()),Chrome 128.0.0.0,,,11-09-2024 13:27:18,11-09-2024 13:27:18,0.002s,PASSED
selectedList = lists.get(randomListIndex),Chrome 128.0.0.0,,,11-09-2024 13:27:18,11-09-2024 13:27:18,0.002s,PASSED
"waitForElementVisible(selectedList, 10)",Chrome 128.0.0.0,,,11-09-2024 13:27:18,11-09-2024 13:27:18,0.263s,PASSED
"listItems = findWebElements(selectedList, 30)",Chrome 128.0.0.0,,,11-09-2024 13:27:18,11-09-2024 13:27:19,1.243s,PASSED
if (listItems.size() > 0),Chrome 128.0.0.0,,,11-09-2024 13:27:19,11-09-2024 13:27:22,2.855s,PASSED
FirstName = keyPathPackage.customKeywords.generateRandomFirstName(),Chrome 128.0.0.0,,,11-09-2024 13:27:22,11-09-2024 13:27:22,0.076s,PASSED
"setText(findTestObject(""Object Repository/APAC_University/MBS_University/Degree Program/Field_Firstname""), FirstName)",Chrome 128.0.0.0,,,11-09-2024 13:27:22,11-09-2024 13:27:25,3.376s,PASSED
LastName = keyPathPackage.customKeywords.generateRandomLastName(),Chrome 128.0.0.0,,,11-09-2024 13:27:25,11-09-2024 13:27:25,0.013s,PASSED
"setText(findTestObject(""Object Repository/APAC_University/MBS_University/Degree Program/Field_Lastname""), LastName)",Chrome 128.0.0.0,,,11-09-2024 13:27:25,11-09-2024 13:27:26,0.502s,PASSED
"click(findTestObject(""Object Repository/APAC_University/MBS_University/Degree Program/Button_NextStep2""))",Chrome 128.0.0.0,,,11-09-2024 13:27:26,11-09-2024 13:27:26,0.275s,PASSED
"dropdown = findTestObject(""Object Repository/APAC_University/MBS_University/Degree Program/Dropdown_Bachelor_Experience"")",Chrome 128.0.0.0,,,11-09-2024 13:27:26,11-09-2024 13:27:26,0.002s,PASSED
"options = [""yes"", ""no""]",Chrome 128.0.0.0,,,11-09-2024 13:27:26,11-09-2024 13:27:26,0.001s,PASSED
randomOption = options[Random().nextInt(length)],Chrome 128.0.0.0,,,11-09-2024 13:27:26,11-09-2024 13:27:26,0.006s,PASSED
"selectOptionByValue(dropdown, randomOption, true)",Chrome 128.0.0.0,,,11-09-2024 13:27:26,11-09-2024 13:27:29,2.579s,PASSED
